"Offence","Canton","Level of completion","Level of detection","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Computer fraud (Art. 147)","Zug","Level of completion - total","Level of detection - total",75,74,116,80,71,57,59,36,56,71,79,76
"Computer fraud (Art. 147)","Fribourg / Freiburg","Level of completion - total","Level of detection - total",92,110,177,216,147,131,317,243,100,123,114,187
"Computer fraud (Art. 147)","Solothurn","Level of completion - total","Level of detection - total",103,90,174,242,165,149,108,127,158,169,185,230
"Computer fraud (Art. 147)","Basel-Stadt","Level of completion - total","Level of detection - total",232,281,558,415,308,223,237,264,321,303,326,354
"Computer fraud (Art. 147)","Basel-Landschaft","Level of completion - total","Level of detection - total",80,85,147,167,155,129,75,82,103,62,141,163
"Computer fraud (Art. 147)","Schaffhausen","Level of completion - total","Level of detection - total",28,25,24,35,45,34,34,32,36,36,55,34
"Computer fraud (Art. 147)","Appenzell Ausserrhoden","Level of completion - total","Level of detection - total",9,10,8,68,12,14,10,17,9,9,20,16
"Computer fraud (Art. 147)","Appenzell Innerrhoden","Level of completion - total","Level of detection - total",1,0,2,5,2,17,0,3,0,1,2,1
"Computer fraud (Art. 147)","St. Gallen","Level of completion - total","Level of detection - total",194,251,233,314,282,179,198,207,185,212,330,352
"Computer fraud (Art. 147)","Graub�nden / Grigioni / Grischun","Level of completion - total","Level of detection - total",47,45,80,67,52,56,65,27,39,68,58,79
"Computer fraud (Art. 147)","Aargau","Level of completion - total","Level of detection - total",307,265,332,384,399,282,222,204,209,290,289,324
"Computer fraud (Art. 147)","Thurgau","Level of completion - total","Level of detection - total",76,84,102,185,116,70,76,70,78,62,103,115
"Computer fraud (Art. 147)","Ticino","Level of completion - total","Level of detection - total",131,172,160,123,123,91,77,148,111,86,159,95
"Computer fraud (Art. 147)","Vaud","Level of completion - total","Level of detection - total",383,405,570,784,684,507,456,697,540,660,598,575
"Computer fraud (Art. 147)","Valais / Wallis","Level of completion - total","Level of detection - total",73,86,153,155,230,84,97,101,91,83,101,94
"Computer fraud (Art. 147)","Neuch�tel","Level of completion - total","Level of detection - total",82,121,110,169,119,94,122,86,57,97,130,208
"Computer fraud (Art. 147)","Gen�ve","Level of completion - total","Level of detection - total",485,439,560,517,625,508,556,663,667,824,753,572
"Computer fraud (Art. 147)","Jura","Level of completion - total","Level of detection - total",11,12,16,34,25,23,23,21,24,10,10,16
"Obtaining personal data without authorisation (Art. 179novies)","Switzerland","Level of completion - total","Level of detection - total",17,22,34,35,54,43,74,63,63,85,84,103
"Obtaining personal data without authorisation (Art. 179novies)","Z�rich","Level of completion - total","Level of detection - total",3,4,4,9,5,4,8,9,12,14,13,31
"Obtaining personal data without authorisation (Art. 179novies)","Bern / Berne","Level of completion - total","Level of detection - total",1,1,4,0,5,2,4,8,8,7,11,7
"Obtaining personal data without authorisation (Art. 179novies)","Luzern","Level of completion - total","Level of detection - total",1,1,0,0,2,0,3,1,0,1,1,0
"Obtaining personal data without authorisation (Art. 179novies)","Uri","Level of completion - total","Level of detection - total",0,0,0,0,0,0,0,0,0,1,0,1
"Obtaining personal data without authorisation (Art. 179novies)","Schwyz","Level of completion - total","Level of detection - total",0,0,0,0,0,1,1,0,0,2,1,3
"Obtaining personal data without authorisation (Art. 179novies)","Obwalden","Level of completion - total","Level of detection - total",0,0,0,0,0,0,0,0,1,2,1,1
"Obtaining personal data without authorisation (Art. 179novies)","Nidwalden","Level of completion - total","Level of detection - total",0,0,0,0,0,0,0,0,0,1,0,0
